document,cluster
RV 9.17,5
RV 9.18,24
RV 9.19,18
RV 9.20,5
RV 9.21,5
RV 9.22,2
RV 9.23,12
RV 9.24,12
RV 9.25,12
RV 9.26,24
RV 9.27,24
RV 9.28,24
RV 9.29,18
RV 9.30,12
RV 9.31,5
RV 9.32,5
RV 9.33,5
RV 9.34,5
RV 9.35,18
RV 9.36,5
RV 9.37,5
RV 9.38,24
RV 9.39,24
RV 9.40,18
RV 9.41,12
RV 9.42,12
RV 9.43,18
RV 9.44,18
RV 9.45,12
RV 9.46,5
RV 9.47,5
RV 9.48,23
RV 9.49,12
RV 9.50,12
RV 9.51,12
RV 9.52,12
RV 9.53,24
RV 9.54,24
RV 9.55,12
RV 9.56,12
RV 9.57,2
RV 9.58,24
RV 9.59,12
RV 9.60,12
RV 9.61,18
RV 9.62,5
RV 9.63,5
RV 9.64,18
RV 9.65,12
RV 9.66,12
RV 9.67,12
RV 9.68,5
RV 9.69,5
RV 9.70,5
RV 9.71,5
RV 9.72,5
RV 9.73,5
RV 9.74,5
RV 9.75,5
RV 9.76,18
RV 9.77,23
RV 9.78,5
RV 9.79,12
RV 9.80,5
RV 9.81,12
RV 9.82,18
RV 9.83,24
RV 9.84,5
RV 9.85,5
RV 9.86,5
RV 9.87,18
RV 9.88,2
RV 9.89,18
RV 9.90,18
RV 9.91,18
RV 9.92,18
RV 9.93,18
RV 9.94,18
RV 9.95,18
RV 9.96,18
RV 9.97,18
RV 9.98,12
RV 9.99,24
RV 9.100,12
RV 9.101,5
RV 9.102,27
RV 9.103,18
RV 9.104,24
RV 9.105,24
RV 9.106,12
RV 9.107,5
RV 9.108,5
RV 9.109,12
RV 9.110,5
RV 9.111,2
RV 9.112,12
RV 9.113,12
RV 9.114,12
RV 10.1,0
RV 10.2,20
RV 10.3,22
RV 10.4,13
RV 10.5,27
RV 10.6,0
RV 10.7,0
RV 10.8,27
RV 10.9,38
RV 10.10,30
RV 10.11,0
RV 10.12,14
RV 10.13,39
RV 10.14,39
RV 10.15,39
RV 10.16,39
RV 10.17,39
RV 10.18,19
RV 10.19,16
RV 10.20,15
RV 10.21,20
RV 10.22,9
RV 10.23,9
RV 10.24,20
RV 10.25,20
RV 10.26,4
RV 10.27,1
RV 10.28,11
RV 10.29,1
RV 10.30,38
RV 10.31,14
RV 10.32,25
RV 10.33,2
RV 10.34,2
RV 10.35,40
RV 10.36,4
RV 10.37,30
RV 10.38,1
RV 10.39,6
RV 10.40,6
RV 10.41,36
RV 10.42,9
RV 10.43,1
RV 10.44,25
RV 10.45,0
RV 10.46,0
RV 10.47,9
RV 10.48,9
RV 10.49,23
RV 10.50,11
RV 10.51,20
RV 10.52,20
RV 10.53,29
RV 10.54,1
RV 10.55,27
RV 10.56,40
RV 10.57,16
RV 10.58,19
RV 10.59,19
RV 10.60,2
RV 10.61,13
RV 10.62,4
RV 10.63,40
RV 10.64,4
RV 10.65,16
RV 10.66,16
RV 10.67,23
RV 10.68,2
RV 10.69,0
RV 10.70,29
RV 10.71,30
RV 10.72,14
RV 10.73,17
RV 10.74,1
RV 10.75,2
RV 10.76,9
RV 10.77,2
RV 10.78,2
RV 10.79,0
RV 10.80,15
RV 10.81,14
RV 10.82,14
RV 10.83,25
RV 10.84,25
RV 10.85,16
RV 10.86,8
RV 10.87,7
RV 10.88,14
RV 10.89,17
RV 10.90,14
RV 10.91,13
RV 10.92,4
RV 10.93,4
RV 10.94,9
RV 10.95,2
RV 10.96,25
RV 10.97,25
RV 10.98,14
RV 10.99,27
RV 10.100,25
RV 10.101,23
RV 10.102,9
RV 10.103,25
RV 10.104,31
RV 10.105,1
RV 10.106,2
RV 10.107,4
RV 10.108,9
RV 10.109,14
RV 10.110,29
RV 10.111,23
RV 10.112,11
RV 10.113,1
RV 10.114,30
RV 10.115,13
RV 10.116,10
RV 10.117,3
RV 10.118,15
RV 10.119,5
RV 10.120,1
RV 10.121,14
RV 10.122,0
RV 10.123,5
RV 10.124,32
RV 10.125,14
RV 10.126,3
RV 10.127,22
RV 10.128,16
RV 10.129,14
RV 10.130,14
RV 10.131,25
RV 10.132,6
RV 10.133,42
RV 10.134,8
RV 10.135,39
RV 10.136,24
RV 10.137,19
RV 10.138,17
RV 10.139,17
RV 10.140,0
RV 10.141,16
RV 10.142,7
RV 10.143,2
RV 10.144,24
RV 10.145,24
RV 10.146,22
RV 10.147,23
RV 10.148,11
RV 10.149,28
RV 10.150,0
RV 10.151,1
RV 10.152,25
RV 10.153,8
RV 10.154,19
RV 10.155,23
RV 10.156,15
RV 10.157,16
RV 10.158,19
RV 10.159,25
RV 10.160,10
RV 10.161,2
RV 10.162,19
RV 10.163,4
RV 10.164,19
RV 10.165,19
RV 10.166,2
RV 10.167,11
RV 10.168,14
RV 10.169,16
RV 10.170,30
RV 10.171,11
RV 10.172,4
RV 10.173,25
RV 10.174,25
RV 10.175,9
RV 10.176,14
RV 10.177,2
RV 10.178,2
RV 10.179,8
RV 10.180,17
RV 10.181,28
RV 10.182,19
RV 10.183,19
RV 10.184,19
RV 10.185,3
RV 10.186,19
RV 10.187,15
RV 10.188,29
RV 10.189,30
RV 10.190,14
RV 10.191,34
