document,cluster
RV 10.9,17
RV 10.10,15
RV 10.11,-1
RV 10.12,14
RV 10.13,25
RV 10.14,-1
RV 10.15,-1
RV 10.16,-1
RV 10.17,-1
RV 10.18,-1
RV 10.19,17
RV 10.20,27
RV 10.21,29
RV 10.22,5
RV 10.23,5
RV 10.24,-1
RV 10.25,3
RV 10.26,28
RV 10.27,15
RV 10.28,-1
RV 10.29,5
RV 10.30,-1
RV 10.31,-1
RV 10.32,15
RV 10.33,13
RV 10.34,15
RV 10.35,19
RV 10.36,19
RV 10.37,17
RV 10.38,4
RV 10.39,23
RV 10.40,-1
RV 10.41,21
RV 10.42,5
RV 10.43,5
RV 10.44,5
RV 10.45,34
RV 10.46,32
RV 10.47,5
RV 10.48,13
RV 10.49,13
RV 10.50,5
RV 10.51,-1
RV 10.52,-1
RV 10.53,14
RV 10.54,5
RV 10.55,5
RV 10.56,-1
RV 10.57,-1
RV 10.58,-1
RV 10.59,8
RV 10.60,13
RV 10.61,-1
RV 10.62,-1
RV 10.63,-1
RV 10.64,19
RV 10.65,19
RV 10.66,19
RV 10.67,-1
RV 10.68,-1
RV 10.69,-1
RV 10.70,14
RV 10.71,15
RV 10.72,25
RV 10.73,5
RV 10.74,5
RV 10.75,3
RV 10.76,-1
RV 10.77,1
RV 10.78,1
RV 10.79,-1
RV 10.80,32
RV 10.81,-1
RV 10.82,25
RV 10.83,5
RV 10.84,5
RV 10.85,-1
RV 10.86,-1
RV 10.87,-1
RV 10.88,-1
RV 10.89,5
RV 10.90,25
RV 10.91,29
RV 10.92,8
RV 10.93,18
RV 10.94,1
RV 10.95,15
RV 10.96,5
RV 10.97,18
RV 10.98,-1
RV 10.99,5
RV 10.100,19
RV 10.101,-1
RV 10.102,9
RV 10.103,5
RV 10.104,5
RV 10.105,5
RV 10.106,-1
RV 10.107,15
RV 10.108,-1
RV 10.109,-1
RV 10.110,14
RV 10.111,5
RV 10.112,5
RV 10.113,5
RV 10.114,25
RV 10.115,30
RV 10.116,5
RV 10.117,15
RV 10.118,29
RV 10.119,13
RV 10.120,5
RV 10.121,-1
RV 10.122,29
RV 10.123,-1
RV 10.124,12
RV 10.125,12
RV 10.126,18
RV 10.127,0
RV 10.128,19
RV 10.129,25
RV 10.130,25
RV 10.131,5
RV 10.132,19
RV 10.133,4
RV 10.134,4
RV 10.135,-1
RV 10.136,3
RV 10.137,17
RV 10.138,5
RV 10.139,26
RV 10.140,29
RV 10.141,-1
RV 10.142,7
RV 10.143,23
RV 10.144,3
RV 10.145,13
RV 10.146,-1
RV 10.147,5
RV 10.148,5
RV 10.149,26
RV 10.150,29
RV 10.151,-1
RV 10.152,4
RV 10.153,5
RV 10.154,11
RV 10.155,-1
RV 10.156,-1
RV 10.157,-1
RV 10.158,22
RV 10.159,13
RV 10.160,5
RV 10.161,9
RV 10.162,17
RV 10.163,17
RV 10.164,-1
RV 10.165,-1
RV 10.166,13
RV 10.167,5
RV 10.168,26
RV 10.169,19
RV 10.170,-1
RV 10.171,-1
RV 10.172,0
RV 10.173,12
RV 10.174,13
RV 10.175,-1
RV 10.176,9
RV 10.177,25
RV 10.178,-1
RV 10.179,10
RV 10.180,5
RV 10.181,25
RV 10.182,-1
RV 10.183,-1
RV 10.184,-1
RV 10.185,20
RV 10.186,-1
RV 10.187,-1
RV 10.188,-1
RV 10.189,26
RV 10.190,-1
RV 10.191,29
